,tweet_id,lat,lon,content,location
837667447436115969,837667447436115969,,,"RT @BostonSparks: In the last 12 hours A10 and A11 have responded to a 3rd Alarm in Newton, 3rd Alarm in Boston, 2nd Alarm in... https://t.…",Waltham Massachusetts
837667446987325440,837667446987325440,,,RT @uhmshannon: https://t.co/sUnuLJN2cp,boston
837667443866742784,837667443866742784,,,RT @ThatNigga_Nicee: Lmao I be saying the same shit while I'm in the process of rolling a blunt 😂😂😂 https://t.co/LhidzDTQTG,"Boston, MA"
837667443342442496,837667443342442496,,,Hypocrite.. oh wait in Jesus name I drive out hypocrisy https://t.co/hEK4WjS4zj,"Winchester, MA"
837667442038026240,837667442038026240,,,weei​.com &gt;&gt; David Ortiz reportedly undecided about announcing Red Sox games this season https://t.co/rVOGUtBSOT,"Boston, MA"
837667534752997376,837667534752997376,,,RT @OnlyInBOS: One month from today is @RedSox #OpeningDay. Let that sink in... https://t.co/ca0JPSVpvB,
837667534044295169,837667534044295169,,,"@ComplicitOwl I'm in Boston for the day, any local tips? I will ditch this sports conference in a second to get a Switch",Boston
837667531770970113,837667531770970113,,,RT @Digitalmstream: How to Improve Your Social Engagement Without Ads via @Strong_Social https://t.co/kk8V1LaNTv #DigitalMarketing #socialm…,"Safety Harbor, FL"
837667530449760259,837667530449760259,,,Everyone at IC! Come see the preview for my Senior Showcase today at 5pm in the Hoerner at Dillingham! Let the BFAs of 2017 entertain you!,"Boston, MA"
837667529937989632,837667529937989632,,,Love love love...dare I say it again...LOVE! #newsong #lovethissong #listentothis #goodmusic… https://t.co/Nkj4BC8FnA,"Boston, MA"
837667627237576704,837667627237576704,,,"RT @ValaAfshar: You will not regret:

1 quality time with loved ones
2 sharing your knowledge 
3 work that brings you joy 
4 living a recom…",Tampa
837667625668853760,837667625668853760,,,@JesseLarkin DAMMIT,"Boston, MA"
837667624930721794,837667624930721794,,,"RT @OnlyInBOS: 16 years ago today, Chelsea's Johnny Ruiz defeated Evander Holyfield to become 1st Latino WBA heavyweight champion. https://…",TV| NESN|Worldwide syndication
837667624305704962,837667624305704962,,,"RT @OnlyInBOS: Hi.

My name is Ivan.

I'm a 10 month old kitten.

My legs are deformed but I can still love you.

I'm @MspcaAngell: adoptio…",
837667623966031876,837667623966031876,,,#draintheswamp https://t.co/eN1j7Br4GK,"Boston, MA"
837667710989369345,837667710989369345,,,RT @BiologistDan: 7130 #cheetahs left in the wild. Down 93% in only 100 yrs. The Cheetah is one of many facing #extinction! RT to support #…,"Texas, USA"
837667710007934976,837667710007934976,,,"Not listening to podcasts? Here's my favorites, especially when traveling, that you should give a go!  https://t.co/mIPxNgNucD #trypod","boston, ma"
837667709039038464,837667709039038464,,,"Major Casting News for Inhumans, the X-Men TV Show, and More https://t.co/86CEcY0IMm https://t.co/jzjXD9SGfj","Boston, MA"
837667707965358081,837667707965358081,,,RT @mikd33: @realDonaldTrump why would Jared have any business meeting with Russian ambassadors along with Flynn?,NYC
837667707050930176,837667707050930176,,,"RT @blogness: Interview with Pam Springsteen: When Springsteen is your brother, taking photos comes easy. https://t.co/iCqe9YL8L7",
837667797027155969,837667797027155969,,,"RT @DraftKings: #FreebieFriday! Enter to win $10 DK Dollars!
1. Be following @DraftKings
2. RT
Ends 3pm EST: https://t.co/o4msFaYLJP https:…","Indianapolis, IN"
837667796716777474,837667796716777474,,,Wakefield HRC to host Womens Day celebration https://t.co/gMlmOV5Vpg,"Wakefield, MA"
837667795659730944,837667795659730944,,,RT @udaqueness: https://t.co/CiiYkYPldD 주인과 함께 아일랜드 전통춤을 추는 오스트레일리안 셰퍼드 독 Secret https://t.co/7SmdaWeyoG,
837667795097759744,837667795097759744,,,The best answer I’ve ever heard to “sell me this pen” https://t.co/1KbfnAW1To #Sales https://t.co/vlrVSDaszo,"Boston, USA"
837667794443436033,837667794443436033,,,Antartica is the only continent without reptiles or snakes. #funfactfriday https://t.co/W52qnYzORS,"Waltham, MA"
837667887879946241,837667887879946241,,,RT @BUSargent: Amazing cartoonist @grahamshawdraw visited the #BU #Aphasia Community Group to demonstrate using drawing as a communication…,"New York, NY"
837667883912056834,837667883912056834,,,Tesla Drivers Are Guinea Pigs for Flawed Self-Driving Software: Owners of newer models are road-testing Tesla’s… https://t.co/vJLCCpqwiR,"Boston, MA"
837667882989412356,837667882989412356,,,RT @pymnts: How cars will become personalized digital platforms for content and services: https://t.co/y4gT5XniCo.,
837667881945030656,837667881945030656,,,"RT @Paigest123: Okay, well at the very least, I've lost the weight I'd gained since January 1st. So there's that.",A Barn
837667972546093058,837667972546093058,,,@KiingMiggy @iamkristinejhoy pagaya ng tweet mo,"Boston, MA"
837667972009328640,837667972009328640,,,RT @SasserModestino: TODAY hear about the state of women's advancement from  @randyalbelda @jladge @KarenSpilka @senjehlen @NU_PolicySchool…,Massachusetts
837667971820634118,837667971820634118,,,@MarcPDumont welcome to #Claudesworld effective but somewhat uninspiring #gobruins,"Boston, MA"
837667971786944512,837667971786944512,,,"@NEwertKrocker your flowchart lands in the ""replay Suikoden II"" more than it doesn't. Heh.","Somerville, MA"
837667971564593153,837667971564593153,,,RT @mikd33: @realDonaldTrump this one? https://t.co/J3EehiL8oL,
837668058349113344,837668058349113344,,,Designers: Robots are coming for your jobs https://t.co/63FG9pLbIu by @markrolstonargo via @FastCoDesign,"Boston, MA"
837668058164494336,837668058164494336,,,RT @Harvard: Rihanna draws a crowd in visit to accept Peter J. Gomes Humanitarian Award https://t.co/lEioDPX9Ml,Watching Disney
837668057824833537,837668057824833537,,,"RT @Bet_Labs: 81% of spread dollars were on #Warriors -7.5 vs. Bulls last night

Teams getting +75% of spread dollars are 63-106 (37%) ATS…",Santiago
